series_id,series_name,hit,imdb,series_image_url
248479,قطارهای رباتی,0,5.3,https://www.namava.ir/Content/Upload/Images/b7e29bd0-5fab-43ea-9812-ff3c97094c0c.jpg
256434,اشرف رویا,80,6.7,https://www.namava.ir/Content/Upload/Images/c419a2e4-dcd5-4226-81f2-90d04ea7c9cd.jpg
264400,هتل تسخیر شده,0,7.7,https://www.namava.ir/Content/Upload/Images/379b92e4-2f57-4a01-be98-819181c7a391.jpg
264532,قصه های ترسناک هالووینی,0,None,https://www.namava.ir/Content/Upload/Images/c2050024-89aa-45e3-a3f9-dfcf3344493a.jpg
264622,واقعیه یا کیکه؟! ویژه هالووین,0,6.4,https://www.namava.ir/Content/Upload/Images/89c7503b-6279-4d63-9917-45ed90bb3d80.jpg
264736,جاده‌ پایین گورستان,0,7.2,https://www.namava.ir/Content/Upload/Images/541d8a35-0a1b-4461-83c4-bcba046a6d0f.jpg
248804,افسانه بانو اوک,86,8,https://www.namava.ir/Content/Upload/Images/83616f9a-86e7-4191-b32b-57b7a919eff2.jpg
264477,تسخیر واقعی,0,6.1,https://www.namava.ir/Content/Upload/Images/f2b555c1-3e36-4ee0-acbf-e99dc5986454.jpg
259592,انتخاب غیر طبیعی,78,7.8,https://www.namava.ir/Content/Upload/Images/00057778-dd8f-48e4-952e-154f0bd0171e.jpg
257502,آن:‌ به دری خوش آمدید,86,8,https://www.namava.ir/Content/Upload/Images/23651d4a-b9b4-48d3-8df7-3f6cb6a5c6ae.jpg
264578,تالاماسکا: فرقه مخفی,83,6.4,https://www.namava.ir/Content/Upload/Images/73658f66-4e22-4af1-b9c4-7b5dffb1ce21.jpg
260416,غسال,75,8.1,https://www.namava.ir/Content/Upload/Images/c1f492f9-e7d7-4ac3-bd09-724ef681566c.jpg
260492,مرد خوب,87,7,https://www.namava.ir/Content/Upload/Images/b3a78f92-15c1-405e-8620-c50bafe03d74.jpg
264245,شیطان در لباس مبدل: جان وین گیسی,72,7.3,https://www.namava.ir/Content/Upload/Images/95b5f57e-0fd3-4f03-ba1f-86219df51bed.jpg
264256,آقای اسکورسیزی,78,8.6,https://www.namava.ir/Content/Upload/Images/fccd306a-8515-40bb-92aa-0e06d5427df1.jpg
260301,گناه نخستین تاکوپی,85,8.8,https://www.namava.ir/Content/Upload/Images/188cb1f6-0928-434c-b9e8-aa03070e0456.jpg
262445,من با قانون در افتادم,0,7.6,https://www.namava.ir/Content/Upload/Images/ff45e42c-525c-4700-853b-8ccb90168bac.jpg
264192,مردا: مرگ در خانواده,0,7.1,https://www.namava.ir/Content/Upload/Images/a2f4b2c3-e1a8-42ab-907d-b172b1a02415.jpg
261480,مکاماتو,80,7,https://www.namava.ir/Content/Upload/Images/f647e314-873d-4af9-91b3-2425b2dd8193.jpg
249708,کارل مجموعه دار,0,8.6,https://www.namava.ir/Content/Upload/Images/f273a9a1-02e6-49e6-839b-524d59c10276.jpg
253216,مورو! گلزن برتر,0,7.8,https://www.namava.ir/Content/Upload/Images/26627fe0-8e85-4837-8502-1957627fa356.jpg
263322,چد پاورز,0,7.4,https://www.namava.ir/Content/Upload/Images/033b224a-7af7-4d9e-ba7d-85351523e031.jpg
264043,میزان,0,None,https://www.namava.ir/Content/Upload/Images/386dc96e-4364-4605-833f-a8718a51b51d.jpg
263741,آخرین سنگر,91,7.2,https://www.namava.ir/Content/Upload/Images/1c3ecc83-3ceb-490a-863b-e7b6413ec2ba.jpg
250931,دایناسورهای رنگی رنگی,0,7.6,https://www.namava.ir/Content/Upload/Images/2007720c-217f-48ed-9498-0919d24cb04d.jpg
260585,فیلم ما,81,8.9,https://www.namava.ir/Content/Upload/Images/3c1b869f-1fdb-458a-ae5f-5cc1daf4f33f.jpg
262978,تد باندی: گفتگو با شیطان,0,6.7,https://www.namava.ir/Content/Upload/Images/c875d409-e1de-47b1-8d57-6367560c0cf3.jpg
260108,زندگی پست,0,6.7,https://www.namava.ir/Content/Upload/Images/2841a7f2-7b3e-47ca-9a7e-5fd6c4b9e224.jpg
257993,کتابداران: فصل بعدی,0,6.2,https://www.namava.ir/Content/Upload/Images/66c34490-1d9f-4169-a4cc-9fcde5274884.jpg
258584,عمر دوباره,67,6.8,https://www.namava.ir/Content/Upload/Images/8ac45df9-a56d-4169-8c66-182ac056651e.jpg
257111,مدرسه قهرمانانه من: خودسرها,85,7.5,https://www.namava.ir/Content/Upload/Images/7d99749d-c2ad-4a01-ad74-bb34c204da1d.jpg
263508,هیولا: داستان اد گین,84,7.8,https://www.namava.ir/Content/Upload/Images/9e246937-89ba-4a82-8aa9-c3d669ca43e3.jpg
260830,قتل های ماست فروشی,0,6.2,https://www.namava.ir/Content/Upload/Images/d52f88c8-4325-4b4c-98e8-4d8d3df37d20.jpg
255470,لازاروس,89,7,https://www.namava.ir/Content/Upload/Images/b8cf9add-199b-44fd-820c-469d2e14f785.jpg
259221,وحشی ها,0,7.3,https://www.namava.ir/Content/Upload/Images/b5c2c32c-cad5-4779-be6f-8be833aacb2b.jpg
257380,بیمه طلاق,92,6.8,https://www.namava.ir/Content/Upload/Images/6a891cd3-87b8-4642-9761-b013ccbba3c8.jpg
263136,دانش آموزها به پیش,71,6.5,https://www.namava.ir/Content/Upload/Images/af6fa422-dc7c-4671-9bd9-5ffd961d5ff0.jpg
255339,شوالیه در محوطه,0,6.8,https://www.namava.ir/Content/Upload/Images/386f8fb7-dec2-4823-9c28-79e9895869f1.jpg
262819,دستگیری قاتلشان: دختران روی پل مرتفع,0,6.5,https://www.namava.ir/Content/Upload/Images/e1f20de0-4c9a-4a3c-8dbf-ea535d267bb5.jpg
263457,ازازیل (ویژه ناشنوایان),0,None,https://www.namava.ir/Content/Upload/Images/8b11d40c-e435-4476-8911-0463fdbe3e62.jpg
248583,برد یا باخت,91,8,https://www.namava.ir/Content/Upload/Images/6a0f6703-6ee4-482e-859e-10a7e3f06009.jpg
256707,شرلوک و دخترش,95,6.5,https://www.namava.ir/Content/Upload/Images/cf1700cd-3288-4585-b6fb-ff9329cfb19f.jpg
263442,غربت (ویژه ناشنوایان),0,None,https://www.namava.ir/Content/Upload/Images/4399cd0c-8f57-4172-a775-3200346ac23c.jpg
259581,شبی در آیداهو: قتل های کالج,0,7.1,https://www.namava.ir/Content/Upload/Images/44756589-c05e-4c76-981a-2b63431a1a41.jpg
261850,در پرواز,0,6.4,https://www.namava.ir/Content/Upload/Images/a3018204-c988-43af-9415-8500352e4a8c.jpg
257889,نه پازل,86,7.7,https://www.namava.ir/Content/Upload/Images/63050350-9460-4135-a725-06b52e53a679.jpg
262919,پشت پرده,0,7.7,https://www.namava.ir/Content/Upload/Images/abe4463d-67ff-41fe-80b3-619e695a838b.jpg
258585,شمارش معکوس,0,6.9,https://www.namava.ir/Content/Upload/Images/1176bc91-da61-44cf-80d1-872e3977948b.jpg
262950,خاندان گینس,87,7.4,https://www.namava.ir/Content/Upload/Images/d23e4483-5139-41c1-8ad4-969fd52d58d6.jpg
262643,هفت خرس,82,5.4,https://www.namava.ir/Content/Upload/Images/a5d289b1-fd9c-4c61-9218-50d87058914d.jpg
262990,زامبی های مارول,85,7.1,https://www.namava.ir/Content/Upload/Images/34752558-a4dd-47dd-910a-20a5b1f5f25b.jpg
262960,تابستانی که هیکارو مرد,86,8.1,https://www.namava.ir/Content/Upload/Images/d2a4011d-d1f8-449a-a4db-08b8143b4e49.jpg
257573,باکوگان,84,6.3,https://www.namava.ir/Content/Upload/Images/7b60a5a3-3432-49f0-8538-45225920646a.jpg
258748,راهنمای رزیدنتی,93,8.1,https://www.namava.ir/Content/Upload/Images/91ba1225-d616-47b3-8a40-bf1bc0bea6ff.jpg
259557,بله آقای نخست وزیر,0,8.6,https://www.namava.ir/Content/Upload/Images/b6d57d9a-6dbf-40d6-94f2-609976e34cd7.jpg
259141,اسرار بیماری ذهنی,0,7.7,https://www.namava.ir/Content/Upload/Images/cd7cb032-59de-4547-a148-ee3d9babb79e.jpg
260633,کاستی ها,0,7.4,https://www.namava.ir/Content/Upload/Images/3e177b92-cb5f-45cb-9116-b28498c4f095.jpg
262656,خرگوش سیاه,80,7.8,https://www.namava.ir/Content/Upload/Images/36baa0c8-e713-4222-9fe2-6bba3697cf56.jpg
260364,مکالمه با یک قاتل: نوارهای پسر سم,0,6.7,https://www.namava.ir/Content/Upload/Images/a4ee65d2-1ab3-46c1-b5e0-31997ea086f0.jpg
262671,پناهگاه میلیاردرها,91,5.1,https://www.namava.ir/Content/Upload/Images/8ba7e312-c454-4d60-8c62-4cc1dc6fe0d1.jpg
258945,خراج ها,0,6.9,https://www.namava.ir/Content/Upload/Images/33db5517-5d7f-46b8-922a-32cfd11a1d85.jpg
262256,مهارت آباد,72,7,https://www.namava.ir/Content/Upload/Images/8d0dc36a-e21c-41b5-b3cd-ef0fa2faabc6.jpg
258482,دود,0,6.7,https://www.namava.ir/Content/Upload/Images/d873cfdc-a66f-4ba8-a051-808b17a36dac.jpg
255827,ویدای دامپزشک,82,6.7,https://www.namava.ir/Content/Upload/Images/64707a06-1ed2-4aa9-b86c-d3a1a050ed6f.jpg
256301,مسافر ابدیت,85,7.8,https://www.namava.ir/Content/Upload/Images/8be0c87f-1adf-4ace-806c-06978de0929a.jpg
258908,قصه های جزیره,98,8.5,https://www.namava.ir/Content/Upload/Images/2782abb1-1bcd-4003-9950-a6f207523eae.jpg
261786,گروگان,0,6.5,https://www.namava.ir/Content/Upload/Images/329c1734-6f9d-4cba-9434-105795a98a2f.jpg
260010,محافظان واکاندا,78,6.3,https://www.namava.ir/Content/Upload/Images/4dfc7f19-bf46-4adb-98ee-4d58dfce58c9.jpg
260099,ملودی و کرومی من,86,8.5,https://www.namava.ir/Content/Upload/Images/aed3e56b-9500-4c12-bf01-6efe672f9555.jpg
259259,سرطان: امپراتور همه بیماری ها,0,8.4,https://www.namava.ir/Content/Upload/Images/111317b6-aa85-4c05-94a7-8ecb5dbc056d.jpg
259395,بازگشت شرلوک هولمز,90,8.7,https://www.namava.ir/Content/Upload/Images/fbcdfb35-8cf9-48dd-9e61-e8a76b586758.jpg
259817,کاتالوگ,0,7.7,https://www.namava.ir/Content/Upload/Images/54767df4-7632-4d97-afe9-a5b33831cd1e.jpg
262334,وظیفه,87,8,https://www.namava.ir/Content/Upload/Images/0f538d3b-ea08-4f21-b44b-120219a9ac25.jpg
259074,موسیقی متن فیلم مربی اژدها,0,8.1,https://www.namava.ir/Content/Upload/Images/f45df9f2-a2b0-428a-af1a-9479f39399da.jpg
262204,خودرو بانک,87,None,https://www.namava.ir/Content/Upload/Images/fe41d274-f936-4a35-b97c-2409792c95f5.jpg
262143,روزنامه,0,6.9,https://www.namava.ir/Content/Upload/Images/8909de01-bf13-41a6-9890-27fa870d9ae8.jpg
255389,فیلم ملودرام,83,7.3,https://www.namava.ir/Content/Upload/Images/a58ed3ea-8041-45e3-9397-5629b019512f.jpg
259213,رازهای خویشاوندی,0,7,https://www.namava.ir/Content/Upload/Images/a3c92f26-f02f-4638-aac8-5b414ac039c0.jpg
258664,شکارچی با تیغ جراحی,88,8.5,https://www.namava.ir/Content/Upload/Images/44600e04-9b85-4f14-bdb4-9e56e8150c48.jpg
259157,پوآرو,93,8.6,https://www.namava.ir/Content/Upload/Images/0839fa24-5675-4482-a767-d86d38b92692.jpg
260685,طوفان کاترینا: مبارزه علیه زمان,0,7.9,https://www.namava.ir/Content/Upload/Images/0b4422e7-b75a-4ec4-9748-4afcc2424600.jpg
259804,با مرد آهنی و دوستان بی نظیرش آشنا شوید,60,6.8,https://www.namava.ir/Content/Upload/Images/6f51bc86-7532-40cf-b2eb-65d5e0d5266b.jpg
259198,موسیقی متن سریال روز شغال,0,8.1,https://www.namava.ir/Content/Upload/Images/417f01aa-325f-4ff1-9ba7-d9faad429c79.jpg
120093,هجوم,91,6.2,https://www.namava.ir/Content/Upload/Images/df8109be-0513-4482-8f0c-d0c94796b698.jpg
256156,بدون سود بدون عشق,91,7.5,https://www.namava.ir/Content/Upload/Images/d6293255-f325-4b1b-91a4-c0158f9a3546.jpg
258427,اوه موکلان روحی من,93,7.3,https://www.namava.ir/Content/Upload/Images/0a7bda7b-0096-4366-9e7e-fb5d74027831.jpg
